x, y, theta, stamp, 
-3.604753255844116, -1.8903051614761353, -1.6902407691713117, 1697832096946348205, 
-3.604753255844116, -1.8903051614761353, -1.6902407456350514, 1697832097005477152, 
-3.604753255844116, -1.8903051614761353, -1.690240719543045, 1697832097055565427, 
-3.604753255844116, -1.8903051614761353, -1.6902406780060628, 1697832097106567816, 
-3.6060824394226074, -1.904249668121338, -1.6810571543233854, 1697832097365208758, 
-3.611680269241333, -1.978293538093567, -1.6189709580082192, 1697832097646601915, 
-3.611459732055664, -2.0877013206481934, -1.5211945790122603, 1697832098004409678, 
-3.6029679775238037, -2.180032968521118, -1.4422938329207409, 1697832098305401622, 
-3.587496280670166, -2.2708535194396973, -1.3573881368720215, 1697832098607477888, 
-3.5581119060516357, -2.3779640197753906, -1.2428951163248767, 1697832098966765023, 
-3.5271949768066406, -2.4579668045043945, -1.1532892370449006, 1697832099246281269, 
-3.482645034790039, -2.5461678504943848, -1.0355984368216027, 1697832099606569145, 
-3.4316318035125732, -2.6235885620117188, -0.9304247924961072, 1697832099906582639, 
-3.377000570297241, -2.690542459487915, -0.8225756388695276, 1697832100206505334, 
-3.3133058547973633, -2.75372576713562, -0.7338188375025636, 1697832100496466243, 
-3.2301242351531982, -2.822105646133423, -0.6443464131158897, 1697832100846590230, 
-3.1521494388580322, -2.8769772052764893, -0.5927697323205253, 1697832101156434390, 
-3.0634384155273438, -2.9363794326782227, -0.5826109743493746, 1697832101506454877, 
-2.9860150814056396, -2.9882287979125977, -0.5937222268671244, 1697832101811421291, 
-2.9145843982696533, -3.0390212535858154, -0.65189921327415, 1697832102100105512, 
-2.8428378105163574, -3.0988175868988037, -0.7538873349901429, 1697832102402438345, 
-2.7682363986968994, -3.1776890754699707, -0.8992824757116797, 1697832102756431138, 
-2.716068744659424, -3.2522952556610107, -1.0488411171168677, 1697832103056472073, 
-2.671565532684326, -3.3460533618927, -1.2303216056648545, 1697832103396452064, 
-2.6463606357574463, -3.434110403060913, -1.3842032525986612, 1697832103696590528, 
-2.6353352069854736, -3.5264477729797363, -1.530523985859739, 1697832104002490327, 
-2.6371564865112305, -3.6333656311035156, -1.6693433372146158, 1697832104356480322, 
-2.6470725536346436, -3.7090020179748535, -1.7431875988885284, 1697832104656468098, 
-2.648800849914551, -3.718600273132324, -1.7492475964980212, 1697832104706672870, 
-2.6503853797912598, -3.727431058883667, -1.7561173597608688, 1697832104757487494, 
-2.6522223949432373, -3.73625111579895, -1.7599569830293889, 1697832104803461942, 
-2.653963088989258, -3.745049476623535, -1.7660651706099642, 1697832104847128435, 
-2.6560142040252686, -3.7552125453948975, -1.773112138058236, 1697832104897038571, 
-2.657970666885376, -3.764312505722046, -1.7753796768642391, 1697832104946505766, 
-2.659538984298706, -3.7708611488342285, -1.7758544997297776, 1697832104998767026, 
-2.6609301567077637, -3.7776763439178467, -1.7777983721221837, 1697832105056483541, 
-2.6623528003692627, -3.784022092819214, -1.7777983721221837, 1697832105106459586, 
-2.663914680480957, -3.7912893295288086, -1.7776342119227526, 1697832105157464205, 
-2.668808698654175, -3.8164379596710205, -1.7504743527987088, 1697832105406758720, 
-2.673380136489868, -3.845081090927124, -1.6630915794951537, 1697832109246480777, 
-2.6738669872283936, -3.849724054336548, -1.6230310979911677, 1697832109506600874, 
-2.6720941066741943, -3.8880996704101562, -1.3639561751123832, 1697832109906527235, 
