x, y, theta, stamp, 
-1.3973883390426636, -0.05146268382668495, 3.0905756996944898, 1697829813715321516, 
-1.3973883390426636, -0.05146268382668495, 3.0905756996944898, 1697829813763750381, 
-1.3973883390426636, -0.05146268382668495, 3.0905756996944898, 1697829813812254004, 
-1.3973883390426636, -0.05146268382668495, 3.0905756996944898, 1697829813876113766, 
-1.40846586227417, -0.05105314403772354, 3.096247907273538, 1697829814116100370, 
-1.4862061738967896, -0.05077919363975525, -3.112876656963051, 1697829814420236718, 
-1.5935828685760498, -0.05923350527882576, -3.006700732018653, 1697829814772611746, 
-1.6856789588928223, -0.07541197538375854, -2.918089847369294, 1697829815075432862, 
-1.770460605621338, -0.09857474267482758, -2.8292110321807846, 1697829815363947210, 
-1.8713942766189575, -0.1373564898967743, -2.7144797752575305, 1697829815715926805, 
-1.9546316862106323, -0.1797274500131607, -2.6172984108376283, 1697829816020789899, 
-2.0330252647399902, -0.22980864346027374, -2.515879642661958, 1697829816323877154, 
-2.150010824203491, -0.32793477177619934, -2.3700953665025564, 1697829816821793457, 
-2.213542938232422, -0.395366907119751, -2.285482953377541, 1697829817123830387, 
-2.2808332443237305, -0.4798777997493744, -2.1957224890135727, 1697829817476808185, 
-2.3298916816711426, -0.5532267689704895, -2.1240232502622876, 1697829817764492179, 
-2.375965118408203, -0.634071946144104, -2.05184610513043, 1697829818068903493, 
-2.422215223312378, -0.73135906457901, -1.9761108861224315, 1697829818420796927, 
-2.4553425312042236, -0.8176959753036499, -1.9027315491857675, 1697829818724065850, 
-2.4814820289611816, -0.9024775624275208, -1.8366812996940916, 1697829819013209091, 
-2.50225567817688, -0.9929599165916443, -1.7627549921569141, 1697829819317079678, 
-2.517223358154297, -1.0996116399765015, -1.6511220433453808, 1697829819668849397, 
-2.520792245864868, -1.1926155090332031, -1.5476011554832227, 1697829819972931708, 
-2.511883020401001, -1.3000446557998657, -1.4070131315604686, 1697829820324867224, 
-2.493243932723999, -1.3862298727035522, -1.2785287825139007, 1697829820613168506, 
-2.461205005645752, -1.4738224744796753, -1.1281461790969627, 1697829820916946075, 
-2.4162628650665283, -1.5550380945205688, -0.9806375477239413, 1697829821220876015, 
-2.350848913192749, -1.6402134895324707, -0.820008999210893, 1697829821572954332, 
-2.292903423309326, -1.6961801052093506, -0.6875256737667277, 1697829821876949452, 
-2.2219109535217285, -1.749320149421692, -0.5848875122612694, 1697829822164816999, 
-2.1281862258911133, -1.8044179677963257, -0.4784048268338051, 1697829822516385766, 
-2.0437018871307373, -1.8438642024993896, -0.3948795357763841, 1697829822820322126, 
-1.9568127393722534, -1.877703309059143, -0.35391141953840877, 1697829823124399269, 
-1.8557350635528564, -1.914242148399353, -0.3381656076308177, 1697829823476588073, 
-1.771997094154358, -1.942988395690918, -0.31787908042222496, 1697829823764289765, 
-1.6841236352920532, -1.9723392724990845, -0.32175181535528746, 1697829824068880028, 
-1.5937116146087646, -2.0024023056030273, -0.32670280447508526, 1697829824421883704, 
-1.5359269380569458, -2.0220210552215576, -0.31947413524578705, 1697829824724922823, 
-1.4964582920074463, -2.0352189540863037, -0.31378136251280975, 1697829825014207385, 
-1.4706870317459106, -2.0435588359832764, -0.2986955317651213, 1697829825317071127, 
-1.4574902057647705, -2.0476508140563965, -0.26501982835078436, 1697829825668908268, 
-1.4531209468841553, -2.0488088130950928, -0.22319993064654692, 1697829825973961639, 
-1.448043942451477, -2.0500130653381348, -0.17798423322480716, 1697829826276992891, 
-1.4414936304092407, -2.0509867668151855, -0.12041121095942178, 1697829826613274706, 
-1.4333226680755615, -2.051663398742676, -0.05376965412505519, 1697829826917131611, 
