x, y, theta, stamp, 
-3.879728317260742, -1.4948134422302246, -1.7905841779873815, 1697831986091993558, 
-3.879728317260742, -1.4948134422302246, -1.7905841743135762, 1697831986142496373, 
-3.879728317260742, -1.4948134422302246, -1.7905841629072643, 1697831986201999697, 
-3.879728317260742, -1.4948134422302246, -1.7905841575603165, 1697831986250977083, 
-3.8824656009674072, -1.5080400705337524, -1.7769031689525727, 1697831986560996302, 
-3.894599676132202, -1.5796101093292236, -1.7130937373497834, 1697831986841131811, 
-3.904778242111206, -1.6899311542510986, -1.6060367840810865, 1697831987201017640, 
-3.904555082321167, -1.7818084955215454, -1.519720458566937, 1697831987500985064, 
-3.8962156772613525, -1.8735337257385254, -1.4326814298463952, 1697831987801002247, 
-3.874610424041748, -1.9822659492492676, -1.3036830200392373, 1697831988160749848, 
-3.852454900741577, -2.052931070327759, -1.2051534163247508, 1697831988441057200, 
-3.8135271072387695, -2.1402013301849365, -1.0793390717860145, 1697831988751090973, 
-3.756608009338379, -2.2315051555633545, -0.9288882842354629, 1697831989100325510, 
-3.6974611282348633, -2.3021085262298584, -0.7997884180842184, 1697831989401901825, 
-3.6277520656585693, -2.3667984008789062, -0.6872084038296914, 1697831989710445179, 
-3.5462021827697754, -2.427196979522705, -0.5896882650480519, 1697831990040269759, 
-3.4656169414520264, -2.477724552154541, -0.5371685886784382, 1697831990350977956, 
-3.384300470352173, -2.524562120437622, -0.5173527641626114, 1697831990656006133, 
-3.292562484741211, -2.579847574234009, -0.5637082578686572, 1697831991006036881, 
-3.216540575027466, -2.6319193840026855, -0.6490330019089862, 1697831991305279372, 
-3.147536039352417, -2.689185857772827, -0.7750178495084667, 1697831991603512692, 
-3.086063861846924, -2.7569167613983154, -0.9133246340289517, 1697831991901017134, 
-3.0283615589141846, -2.845963478088379, -1.1023707131717675, 1697831992251043527, 
-2.991903305053711, -2.931351661682129, -1.2686441323989104, 1697831992557071367, 
-2.967176675796509, -3.0365753173828125, -1.4378932856156155, 1697831992912050201, 
-2.959531784057617, -3.123260974884033, -1.5510072508120953, 1697831993197954190, 
-2.9609358310699463, -3.214694023132324, -1.638270385386575, 1697831993501037578, 
-2.9705607891082764, -3.3123230934143066, -1.7027885036670656, 1697831993851208715, 
-2.978954315185547, -3.3714137077331543, -1.7134403598906958, 1697831994141619153, 
-2.9845921993255615, -3.4177932739257812, -1.6709331995134813, 1697831994462964987, 
-2.9864325523376465, -3.4487192630767822, -1.5872240096050632, 1697831994800137267, 
-2.9864211082458496, -3.4646754264831543, -1.5250018616226484, 1697831995101071857, 
-2.9855616092681885, -3.472256660461426, -1.3524317371636738, 1697831995401095581, 
-2.983424186706543, -3.4796626567840576, -1.1070291952755307, 1697831995761130859, 
-2.98028826713562, -3.4853103160858154, -0.9007899782914691, 1697831996040301426, 
-2.973741292953491, -3.4922080039978027, -0.6666463841714899, 1697831996350784886, 
